cluster_id,role,title,description,category,impact,urgency,location,language,reporter_role,difficulty,minutes_after_original,overlap_level,is_duplicate
cluster_0001,ORIGINAL,مشكلة thermostat في المكان,thermostat keeps turning off في Computer Science Building - Lab 1.,HVAC_AC,MEDIUM,HIGH,Computer Science Building - Lab 1,ar_eg,admin_staff,MEDIUM,0,,0
cluster_0001,DUPLICATE,مشكلة thermostat في المكان,في مشكلة في thermostat في Computer Science Building - Lab 1. The room is currently occupied.,HVAC_AC,MEDIUM,HIGH,Computer Science Building - Lab 1,ar_eg,admin_staff,MEDIUM,670,HIGH,1
cluster_0001,DUPLICATE,thermostat مش شغال,في مشكلة محتاجة متابعة في thermostat في Computer Science Building - Lab 1.,HVAC_AC,MEDIUM,HIGH,Computer Science Building - Lab 1,ar_eg,admin_staff,MEDIUM,2762,MEDIUM,1
cluster_0001,DUPLICATE,مشكلة في thermostat محتاجة حل,لاحظت مشكلة مرتبطة بـ thermostat في Computer Science Building - Lab 1.,HVAC_AC,MEDIUM,HIGH,Computer Science Building - Lab 1,ar_eg,admin_staff,MEDIUM,1789,LOW,1
cluster_0001,RELATED,الحنفية بتنقط,المشكلة موجودة في Computer Science Building - Lab 1 وبتأثر على المكان.,PLUMBING_WATER,MEDIUM,HIGH,Computer Science Building - Lab 1,ar_eg,admin_staff,HARD,939,RELATED,0
cluster_0001,HARD_NEGATIVE,مشكلة في AC unit,مشكلة في AC unit محتاجة تتراجع في Engineering Building - Lab 2.,HVAC_AC,MEDIUM,HIGH,Engineering Building - Lab 2,ar_eg,admin_staff,HARD,271,LOW,0
cluster_0002,ORIGINAL,Problem with broken railing,The broken railing is damaged at Science Building - Physics Lab. The problem should be reviewed soon.,SAFETY_HAZARD,HIGH,MEDIUM,Science Building - Physics Lab,en,security_staff,HARD,0,,0
cluster_0002,DUPLICATE,Broken railing problem reported,There is still a problem with the broken railing in Science Building - Physics Lab. The problem should be reviewed soon.,SAFETY_HAZARD,HIGH,MEDIUM,Science Building - Physics Lab,en,security_staff,HARD,1380,HIGH,1
cluster_0002,DUPLICATE,Broken railing needs attention,The broken railing in Science Building - Physics Lab is having the same issue. The problem should be reviewed soon.,SAFETY_HAZARD,HIGH,MEDIUM,Science Building - Physics Lab,en,security_staff,HARD,1864,HIGH,1
cluster_0002,DUPLICATE,Broken railing problem reported,The same broken railing problem was noticed in Science Building - Physics Lab.,SAFETY_HAZARD,HIGH,MEDIUM,Science Building - Physics Lab,en,security_staff,HARD,2580,HIGH,1
cluster_0002,RELATED,Electrical switch is not working,Please check the wall socket at Science Building - Physics Lab. It has no power. The issue appeared this morning.,ELECTRICAL,HIGH,MEDIUM,Science Building - Physics Lab,en,security_staff,HARD,751,RELATED,0
cluster_0002,HARD_NEGATIVE,Broken railing issue,There is a reported issue with this broken railing.,SAFETY_HAZARD,HIGH,MEDIUM,Computer Science Building - Lab 1,en,security_staff,HARD,403,LOW,0
cluster_0003,ORIGINAL,مشكلة في vent,vent is leaking water في Outdoor Courtyard.,HVAC_AC,MEDIUM,LOW,Outdoor Courtyard,ar_eg,lab_assistant,MEDIUM,0,,0
cluster_0003,DUPLICATE,مشكلة vent في المكان,vent محتاج يتراجع في المكان ده.,HVAC_AC,MEDIUM,LOW,Outdoor Courtyard,ar_eg,lab_assistant,MEDIUM,422,LOW,1
cluster_0003,DUPLICATE,عطل في vent,لاحظت مشكلة مرتبطة بـ vent في Outdoor Courtyard.,HVAC_AC,MEDIUM,LOW,Outdoor Courtyard,ar_eg,lab_assistant,MEDIUM,1705,LOW,1
cluster_0003,RELATED,الحوض بيسرب مية,في مشكلة في water pipe في Outdoor Courtyard. The problem started today.,PLUMBING_WATER,MEDIUM,LOW,Outdoor Courtyard,ar_eg,lab_assistant,HARD,446,RELATED,0
cluster_0003,HARD_NEGATIVE,مشكلة في AC unit محتاجة حل,مشكلة في AC unit محتاجة تتراجع في Engineering Building - Room 101.,HVAC_AC,MEDIUM,LOW,Engineering Building - Room 101,ar_eg,lab_assistant,HARD,439,LOW,0
cluster_0004,ORIGINAL,The lift has an issue,محتاجين حد يشوف the lift في Administration Building - Room 18.,ELEVATOR,HIGH,HIGH,Administration Building - Room 18,mixed,security_staff,MEDIUM,0,,0
cluster_0004,DUPLICATE,في مشكلة في lift,في مشكلة في the lift في Administration Building - Room 18.,ELEVATOR,HIGH,HIGH,Administration Building - Room 18,mixed,security_staff,MEDIUM,1681,HIGH,1
cluster_0004,DUPLICATE,The lift مش شغال,في حاجة غلط في the lift at Administration Building - Room 18.,ELEVATOR,HIGH,HIGH,Administration Building - Room 18,mixed,security_staff,MEDIUM,1694,LOW,1
cluster_0004,RELATED,The AC مش بيبرد,The problem is في Administration Building - Room 18 and it is affecting the area. الموضوع مأثر على الاستخدام دلوقتي.,BUILDING_STRUCTURE,HIGH,HIGH,Administration Building - Room 18,mixed,security_staff,HARD,698,RELATED,0
cluster_0004,HARD_NEGATIVE,Problem with elevator,في مشكلة related to the elevator.,ELEVATOR,HIGH,HIGH,Main Entrance,mixed,security_staff,HARD,814,LOW,0
cluster_0005,ORIGINAL,moshkela fel ceiling panel,el ceiling panel does not close properly fe Administration Building - Room 18.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Administration Building - Room 18,arabizi,student,MEDIUM,0,,0
cluster_0005,DUPLICATE,el ceiling panel feh moshkela,el ceiling panel fe Administration Building - Room 18 feh moshkela.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Administration Building - Room 18,arabizi,student,MEDIUM,806,MEDIUM,1
cluster_0005,DUPLICATE,el ceiling panel mehtag check,feh issue fe ceiling panel fe Administration Building - Room 18.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Administration Building - Room 18,arabizi,student,MEDIUM,783,LOW,1
cluster_0005,RELATED,el sink bysarb maya,feh moshkela fel broken railing fe Administration Building - Room 18. The condition was not present previously.,SAFETY_HAZARD,MEDIUM,MEDIUM,Administration Building - Room 18,arabizi,student,HARD,435,RELATED,0
cluster_0005,HARD_NEGATIVE,el ceiling panel mehtag check,mshkela related lel ceiling panel fe Science Building - Chemistry Lab.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Science Building - Chemistry Lab,arabizi,student,HARD,187,LOW,0
cluster_0006,ORIGINAL,Issue في student account,في عطل في the student account في Library - First Floor.,IT_NETWORK_ACCOUNTS,HIGH,MEDIUM,Library - First Floor,mixed,admin_staff,HARD,0,,0
cluster_0006,DUPLICATE,مشكلة في the student account,The student account مش شغال في Library - First Floor.,IT_NETWORK_ACCOUNTS,HIGH,MEDIUM,Library - First Floor,mixed,admin_staff,HARD,2585,MEDIUM,1
cluster_0006,DUPLICATE,في مشكلة في student account,في مشكلة في the student account في Library - First Floor.,IT_NETWORK_ACCOUNTS,HIGH,MEDIUM,Library - First Floor,mixed,admin_staff,HARD,1355,HIGH,1
cluster_0006,DUPLICATE,Problem with student account,في عطل في the student account في Library - First Floor.,IT_NETWORK_ACCOUNTS,HIGH,MEDIUM,Library - First Floor,mixed,admin_staff,HARD,958,MEDIUM,1
cluster_0006,RELATED,The elevator وقف,The desktop computer does not detect the device في Library - First Floor. Only this device appears to be affected.,IT_HARDWARE_PRINTING,HIGH,MEDIUM,Library - First Floor,mixed,admin_staff,HARD,1158,RELATED,0
cluster_0006,HARD_NEGATIVE,Issue في university email,في مشكلة related to the university email.,IT_NETWORK_ACCOUNTS,HIGH,MEDIUM,Administration Building - Room 12,mixed,admin_staff,HARD,1252,LOW,0
cluster_0007,ORIGINAL,مشكلة في elevator panel,لاحظت إن elevator panel فيه مشكلة في Sports Building.,ELEVATOR,LOW,LOW,Sports Building,ar_eg,student,HARD,0,,0
cluster_0007,DUPLICATE,مشكلة في elevator panel,في عطل متعلق بـ elevator panel في المكان.,ELEVATOR,LOW,LOW,Sports Building,ar_eg,student,HARD,2855,LOW,1
cluster_0007,DUPLICATE,مشكلة في elevator panel,محتاجين حد يشوف elevator panel في Sports Building.,ELEVATOR,LOW,LOW,Sports Building,ar_eg,student,HARD,1189,MEDIUM,1
cluster_0007,RELATED,السور بتاع السلم مكسور,لاحظت مشكلة في broken railing في Sports Building. The hazard is limited to one location.,SAFETY_HAZARD,LOW,LOW,Sports Building,ar_eg,student,HARD,1074,RELATED,0
cluster_0007,HARD_NEGATIVE,مشكلة lift في المكان,مشكلة في lift محتاجة تتراجع في Lecture Hall C.,ELEVATOR,LOW,LOW,Lecture Hall C,ar_eg,student,HARD,425,LOW,0
