ticket_id	created_at	prediction_timestamp	category	impact	urgency	priority	assigned_team	ticket_age_minutes	sla_consumed_pct	sla_time_remaining_minutes	created_hour	created_day_of_week	is_weekend	queue_depth	team_workload	prev_resolution_time_minutes	sla_breach
SLA-000001	4/8/2026 21:02	4/9/2026 4:30	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	448	93.33	32	21	2	0	7	4	471	1
SLA-000002	3/31/2026 18:08	3/31/2026 18:25	FURNITURE_FIXTURES	LOW	LOW	LOW	Facilities	17	0.59	2863	18	1	0	20	14	2572	1
SLA-000003	7/4/2026 20:47	7/5/2026 3:06	GROUNDS_OUTDOOR	LOW	LOW	LOW	Grounds Team	379	13.16	2501	20	5	1	18	14	2568	1
SLA-000004	7/2/2026 14:31	7/2/2026 18:22	BUILDING_STRUCTURE	LOW	MEDIUM	LOW	Facilities	231	8.02	2649	14	3	0	15	1	1331	0
SLA-000005	4/16/2026 22:59	4/17/2026 10:45	GROUNDS_OUTDOOR	LOW	LOW	LOW	Grounds Team	706	24.51	2174	22	3	0	1	10	2365	1
SLA-000006	6/18/2026 16:40	6/19/2026 1:52	SAFETY_HAZARD	MEDIUM	LOW	LOW	Safety Team	552	19.17	2328	16	3	0	3	4	3347	0
SLA-000007	7/29/2026 3:26	7/29/2026 10:29	ELEVATOR	MEDIUM	HIGH	HIGH	Facilities	423	88.12	57	3	2	0	19	11	177	1
SLA-000008	6/13/2026 19:02	6/14/2026 1:23	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	381	79.38	99	19	5	1	7	14	173	1
SLA-000009	1/24/2026 4:06	1/24/2026 6:16	BUILDING_STRUCTURE	LOW	LOW	LOW	Facilities	130	4.51	2750	4	5	1	14	10	3189	1
SLA-000010	5/15/2026 2:53	5/15/2026 5:02	GROUNDS_OUTDOOR	MEDIUM	LOW	LOW	Grounds Team	129	4.48	2751	2	4	0	1	13	2432	1
